frame_id,timestamp,tracking_state,error_px,latency_ms,gaussian_std
0,0.03333333333333333,BEACON_DETECTED,5.693920991468326,10.991096496582031,10.0
1,0.06666666666666667,BEACON_DETECTED,10.687447897499753,10.317802429199219,10.0
2,0.1,ACQUISITION,14.306892070020284,8.93402099609375,10.0
3,0.13333333333333333,LOCKED,16.32055379799431,9.60683822631836,10.0
4,0.16666666666666666,LOCKED,18.512602754753104,10.603666305541992,10.0
5,0.19999999999999998,LOCKED,19.9185755159105,9.825706481933594,10.0
6,0.2333333333333333,LOCKED,21.312491833984662,10.840177536010742,10.0
7,0.26666666666666666,LOCKED,22.111088020355275,12.777090072631836,10.0
8,0.3,LOCKED,22.73217966640111,9.008407592773438,10.0
9,0.3333333333333333,LOCKED,22.72116654989219,7.5588226318359375,10.0
10,0.36666666666666664,LOCKED,23.50580785517703,8.579730987548828,10.0
11,0.39999999999999997,LOCKED,22.72085334621257,7.468223571777344,10.0
12,0.4333333333333333,LOCKED,22.731835095036082,11.10386848449707,10.0
13,0.4666666666666666,LOCKED,22.71209001881277,8.74471664428711,10.0
14,0.49999999999999994,LOCKED,23.510603795641515,8.440732955932617,10.0
15,0.5333333333333333,LOCKED,24.13510310971313,7.509469985961914,10.0
16,0.5666666666666667,LOCKED,22.71622418269352,7.925748825073242,10.0
17,0.6,LOCKED,23.374979938050537,7.829189300537109,10.0
18,0.6333333333333333,LOCKED,23.504858543051462,8.349895477294922,10.0
19,0.6666666666666666,LOCKED,22.7348540945973,7.792949676513672,10.0
20,0.7,LOCKED,22.73753647328907,7.891416549682617,10.0
21,0.7333333333333333,LOCKED,21.95592901294484,7.563114166259766,10.0
22,0.7666666666666666,LOCKED,22.7298901648025,8.244752883911133,10.0
23,0.7999999999999999,LOCKED,21.96230459410288,7.727622985839844,10.0
24,0.8333333333333333,LOCKED,22.728313469124924,8.493185043334961,10.0
25,0.8666666666666666,LOCKED,21.962621805310615,7.44175910949707,10.0
26,0.8999999999999999,LOCKED,23.365402139679894,8.046627044677734,10.0
27,0.9333333333333332,LOCKED,21.968570390574463,7.493734359741211,10.0
28,0.9666666666666666,LOCKED,21.964287611435953,8.573293685913086,10.0
29,0.9999999999999999,LOCKED,21.22329502750405,7.935523986816406,10.0
30,1.0333333333333332,LOCKED,21.237674757555034,9.71674919128418,10.0
31,1.0666666666666667,LOCKED,21.22317727397458,9.027957916259766,10.0
32,1.1,LOCKED,21.225458828682648,8.61978530883789,10.0
33,1.1333333333333335,LOCKED,20.565535706290955,8.368492126464844,10.0
34,1.166666666666667,LOCKED,21.218679711582965,9.508371353149414,10.0
35,1.2000000000000004,LOCKED,21.218745427755703,8.198976516723633,10.0
36,1.2333333333333338,LOCKED,20.513918980760835,13.27371597290039,10.0
37,1.2666666666666673,LOCKED,19.813695536999585,9.096384048461914,10.0
38,1.3000000000000007,LOCKED,19.814833969838748,8.848905563354492,10.0
39,1.3333333333333341,LOCKED,19.817167035094805,8.772611618041992,10.0
40,1.3666666666666676,LOCKED,19.096638489386844,10.298490524291992,10.0
41,1.400000000000001,LOCKED,19.071356696066772,10.237455368041992,10.0
42,1.4333333333333345,LOCKED,19.148000528690616,10.079145431518555,10.0
43,1.466666666666668,LOCKED,19.092817928194805,10.910272598266602,10.0
44,1.5000000000000013,LOCKED,18.38768956557865,8.917808532714844,10.0
45,1.5333333333333348,LOCKED,19.13962820259647,9.59324836730957,10.0
46,1.5666666666666682,LOCKED,17.74259147752738,8.907318115234375,10.0
47,1.6000000000000016,LOCKED,17.735842758624454,10.885477066040039,10.0
48,1.633333333333335,LOCKED,17.73649203230425,11.538028717041016,10.0
49,1.6666666666666685,LOCKED,17.10221379762206,8.768796920776367,10.0
