frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
30,1.0333333333333332,LOCKED,23.92380097127307,19.997596740722656,Fog,12.0,0.04,"(7.705300534381265, 2.1513585649221274)","(2.02083554148566, -0.3468455262824097)"
31,1.0666666666666667,LOCKED,24.14670362036198,25.976181030273438,Fog,12.0,0.04,"(7.788631222985281, 1.826806960885247)","(0.7828332777742659, 3.179986288992307)"
32,1.1,LOCKED,21.397273124783762,18.674373626708984,Fog,12.0,0.04,"(7.85829800582951, 1.4990505166857961)","(1.6166198400070897, 0.6429528078959503)"
33,1.1333333333333335,LOCKED,18.114323900171655,15.41280746459961,Fog,12.0,0.04,"(7.914178663703907, 1.1686642284992914)","(0.7104859289449621, -2.3525988232486537)"
34,1.166666666666667,LOCKED,15.830753687192523,14.873266220092773,Fog,12.0,0.04,"(7.956175162946187, 0.8362277061412259)","(-5.630185985184728, -0.7593913292116516)"
35,1.2000000000000004,LOCKED,17.633269758731544,15.58685302734375,Fog,12.0,0.04,"(7.9842138274261725, 0.5023241562345029)","(-3.4249839261656496, -1.0976562753043666)"
36,1.2333333333333338,LOCKED,23.766591486883467,14.914751052856445,Fog,12.0,0.04,"(7.998245467798764, 0.16753935906685108)","(4.240836879217994, -3.192726169615911)"
37,1.2666666666666673,LOCKED,14.8876017317664,13.91458511352539,Fog,12.0,0.04,"(7.998245467798764, -0.16753935906686074)","(-5.300367099731208, -2.6233932957360415)"
38,1.3000000000000007,LOCKED,21.764445663010697,13.233423233032227,Fog,12.0,0.04,"(7.9842138274261725, -0.5023241562345143)","(-2.4768749067997966, 1.9429981767227407)"
39,1.3333333333333341,LOCKED,23.193673241442422,14.60409164428711,Fog,12.0,0.04,"(7.956175162946186, -0.8362277061412355)","(0.6843858280953405, 3.406778509276961)"
40,1.3666666666666676,LOCKED,19.881596852960413,13.151168823242188,Fog,12.0,0.04,"(7.914178663703906, -1.168664228499301)","(1.97176248392865, -1.1233576627191537)"
41,1.400000000000001,LOCKED,19.96252283501741,15.405893325805664,Fog,12.0,0.04,"(7.858298005829507, -1.4990505166858072)","(3.7682446159924154, -3.996324961107553)"
42,1.4333333333333345,LOCKED,10.881555432826097,14.789342880249023,Fog,12.0,0.04,"(7.78863122298528, -1.8268069608852566)","(-5.727455122393675, -4.9194256706922985)"
43,1.466666666666668,LOCKED,21.40329246806026,15.508174896240234,Fog,12.0,0.04,"(7.705300534381262, -2.1513585649221367)","(2.6683122071574026, -0.4574732369833514)"
44,1.5000000000000013,LOCKED,16.69942230305754,16.10088348388672,Fog,12.0,0.04,"(7.608452130361225, -2.4721359549995925)","(-4.0647386515967785, 0.012537301240362453)"
