frame_id,timestamp,tracking_state,error_px,latency_ms
0,0.03333333333333333,BEACON_DETECTED,299.53380443616044,1.775979995727539
1,0.06666666666666667,BEACON_DETECTED,272.63253657624944,1.5065670013427734
2,0.1,ACQUISITION,246.76810977109665,2.1109580993652344
3,0.13333333333333333,LOCKED,218.85725941809653,2.9289722442626953
4,0.16666666666666666,LOCKED,192.04817104049704,2.0720958709716797
5,0.19999999999999998,LOCKED,166.22424612552766,1.8656253814697266
6,0.2333333333333333,LOCKED,138.4864614321559,1.7919540405273438
7,0.26666666666666666,LOCKED,110.88958472282236,1.6312599182128906
8,0.3,LOCKED,85.31412544239085,1.6276836395263672
9,0.3333333333333333,LOCKED,62.02015801334273,1.8930435180664062
10,0.36666666666666664,LOCKED,47.270498199193966,1.5799999237060547
11,0.39999999999999997,LOCKED,35.67211796347394,1.5649795532226562
12,0.4333333333333333,LOCKED,27.721832551258224,1.5308856964111328
13,0.4666666666666666,LOCKED,22.726636354727024,2.3391246795654297
14,0.49999999999999994,LOCKED,20.796634343085422,2.2962093353271484
15,0.5333333333333333,LOCKED,19.300259065618782,2.46429443359375
16,0.5666666666666667,LOCKED,18.66815470259447,1.89208984375
17,0.6,LOCKED,18.560711193270585,1.8620491027832031
18,0.6333333333333333,LOCKED,17.564168070250297,1.9106864929199219
19,0.6666666666666666,LOCKED,17.67766952966369,1.705169677734375
20,0.7,LOCKED,17.84656829757475,1.4920234680175781
21,0.7333333333333333,LOCKED,19.03943276465977,3.6470890045166016
22,0.7666666666666666,LOCKED,18.34393632784414,2.7136802673339844
23,0.7999999999999999,LOCKED,18.34393632784414,2.359628677368164
24,0.8333333333333333,LOCKED,18.66815470259447,2.1851062774658203
25,0.8666666666666666,LOCKED,18.66815470259447,1.9822120666503906
26,0.8999999999999999,LOCKED,17.7341478509682,1.6171932220458984
27,0.9333333333333332,LOCKED,19.03943276465977,2.2203922271728516
28,0.9666666666666666,LOCKED,18.12456896039186,3.2989978790283203
